Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Motygino,97,RU,1571813334,54,58.18,94.69,272.75,3.26
Portland,90,US,1571813334,93,43.66,-70.25,285.37,3.6
Salisbury,40,GB,1571813123,100,51.07,-1.8,280.37,1.0
Punta Arenas,75,CL,1571813334,70,-53.16,-70.91,279.15,6.2
Beringovskiy,100,RU,1571813335,90,63.05,179.32,272.91,11.58
Port Elizabeth,90,US,1571813335,87,39.31,-74.98,290.15,4.1
San Policarpo,2,PH,1571813335,62,12.18,125.51,302.84,2.93
Rikitea,100,PF,1571813336,85,-23.12,-134.97,294.21,7.64
Arraial do Cabo,30,BR,1571813336,78,-22.97,-42.02,294.87,2.55
Bon Air,90,US,1571813336,93,37.52,-77.56,288.71,2.6
Dikson,100,RU,1571813337,93,73.51,80.55,267.52,8.65
Puerto Ayora,82,EC,1571813337,85,-0.74,-90.35,294.26,2.24
Hobart,20,AU,1571813327,67,-42.88,147.33,294.82,8.7
Quang Ngai,27,VN,1571813338,77,15.12,108.8,300.57,4.29
Ecoporanga,100,BR,1571813338,97,-18.37,-40.83,293.92,1.59
Georgetown,20,GY,1571813078,100,6.8,-58.16,297.15,1.0
Saskylakh,17,RU,1571813338,86,71.97,114.09,259.87,4.56
San Patricio,77,PY,1571813339,90,-26.98,-56.83,285.78,2.16
New Norfolk,20,AU,1571813339,67,-42.78,147.06,294.82,8.7
Ushuaia,21,AR,1571813339,97,-54.81,-68.31,274.12,2.09
Colac,0,AU,1571813340,41,-38.34,143.59,301.48,2.27
Cabo San Lucas,3,MX,1571813340,80,22.89,-109.91,297.04,0.89
Albany,90,US,1571813340,93,42.65,-73.75,286.48,3.84
Severo-Kurilsk,0,RU,1571813340,59,50.68,156.12,279.26,1.98
Marsa Matruh,0,EG,1571813341,70,31.35,27.25,296.71,4.87
Hasaki,75,JP,1571813341,60,35.73,140.83,295.93,5.1
Torbay,90,CA,1571813342,93,47.66,-52.73,279.82,6.2
Thompson,75,CA,1571813342,85,55.74,-97.86,269.15,6.7
Koumac,99,NC,1571813342,75,-20.56,164.28,294.83,1.57
Kodiak,1,US,1571813343,65,39.95,-94.76,282.04,4.6
Saint George,20,GR,1571813343,63,39.45,22.34,290.15,2.1
Victoria,90,BN,1571813318,83,5.28,115.24,303.15,1.0
Bluff,0,AU,1571813343,32,-23.58,149.07,301.0,9.13
Penzance,20,GB,1571813344,100,50.12,-5.53,284.15,3.6
Zambezi,94,ZM,1571813344,58,-13.55,23.12,297.58,4.56
Cabedelo,20,BR,1571813345,94,-6.97,-34.84,295.15,1.5
Ribeira Grande,40,PT,1571813345,93,38.52,-28.7,291.15,3.98
Fairbanks,40,US,1571813345,85,64.84,-147.72,270.93,2.6
Ponta do Sol,63,BR,1571813346,92,-20.63,-46.0,291.07,1.73
Hermanus,30,ZA,1571813346,60,-34.42,19.24,292.04,4.92
Saint-Philippe,90,CA,1571813346,100,45.36,-73.48,285.15,5.1
Grand Gaube,40,MU,1571813346,78,-20.01,57.66,299.15,5.1
Paamiut,89,GL,1571813347,56,61.99,-49.67,275.34,2.75
Kavieng,54,PG,1571813347,71,-2.57,150.8,302.71,5.27
Yellowknife,90,CA,1571813348,94,62.45,-114.38,273.15,2.1
